CensusTract,State,County,Urban,POP2010,LA1and10,LAPOP1_10
40001376600,Oklahoma,Adair,0,2843,0,492.2039119
40001376700,Oklahoma,Adair,0,5354,0,281.5224319
40001376800,Oklahoma,Adair,0,4845,0,384.9896453
40001376900,Oklahoma,Adair,1,4535,1,876.7644225
40001377000,Oklahoma,Adair,0,5106,0,50.26889846
40003955600,Oklahoma,Alfalfa,0,1469,1,626.5183734
40003955700,Oklahoma,Alfalfa,0,1338,0,1.999452591
40003956000,Oklahoma,Alfalfa,0,2835,1,2687.677451
40005587600,Oklahoma,Atoka,0,1449,1,761.2783253
40005587700,Oklahoma,Atoka,0,4082,0,0
40005587800,Oklahoma,Atoka,0,3774,1,2079.89642
40005587900,Oklahoma,Atoka,0,4877,1,2891.64465
40007951600,Oklahoma,Beaver,0,2698,1,1075.821003
40007951700,Oklahoma,Beaver,0,1327,1,1081.376281
40007951800,Oklahoma,Beaver,0,1611,0,0
40009966100,Oklahoma,Beckham,1,7400,1,2622.357747
40009966200,Oklahoma,Beckham,1,6970,1,3005.076329
40009966500,Oklahoma,Beckham,0,1756,0,163.7707513
40009966800,Oklahoma,Beckham,0,5993,0,277.4792092
40011958600,Oklahoma,Blaine,0,1525,1,1455.790283
40011958700,Oklahoma,Blaine,0,1737,1,1667.188842
40011958800,Oklahoma,Blaine,0,1220,0,247.0495993
40011958900,Oklahoma,Blaine,1,5524,1,2408.81352
40011959000,Oklahoma,Blaine,0,1937,1,1380.319486
40013795600,Oklahoma,Bryan,0,2700,1,2527.481454
40013795700,Oklahoma,Bryan,0,3564,1,2713.220823
40013795900,Oklahoma,Bryan,0,1711,1,879.5864153
40013796001,Oklahoma,Bryan,0,5728,0,94.55391578
40013796002,Oklahoma,Bryan,0,4303,0,50.96666671
40013796100,Oklahoma,Bryan,1,7991,1,4413.632031
40013796200,Oklahoma,Bryan,1,4397,0,0.10156846
40013796300,Oklahoma,Bryan,1,1709,0,0
