GEO_ID,NAME,B09019_018E,B09019_003E
25001,"Barnstable County, Massachusetts",4601,94323
25003,"Berkshire County, Massachusetts",2318,54813
25005,"Bristol County, Massachusetts",11281,217912
25007,"Dukes County, Massachusetts",150,6765
25009,"Essex County, Massachusetts",14804,294202
25011,"Franklin County, Massachusetts",959,30569
25013,"Hampden County, Massachusetts",10193,179423
25015,"Hampshire County, Massachusetts",1537,58838
25017,"Middlesex County, Massachusetts",19594,604384
25019,"Nantucket County, Massachusetts",17,3713
25021,"Norfolk County, Massachusetts",9375,265300
25023,"Plymouth County, Massachusetts",9647,187460
25025,"Suffolk County, Massachusetts",13362,309844
25027,"Worcester County, Massachusetts",12664,309951
