State,State Code,Households with a breadwinner mother as precent of all households with children
Alabama,AL,53
Alaska,AK,48
Arizona,AZ,48
Arkansas,AR,52
California,CA,47
Colorado,CO,45
Connecticut,CT,51
Delaware,DE,54
District of Columbia,DC,64
Florida,FL,54
Georgia,GA,52
Hawaii,HI,49
Idaho,ID,42
Illinois,IL,49
Indiana,IN,49
Iowa,IA,52
Kansas,KS,47
Kentucky,KY,52
Louisiana,LA,54
Maine,ME,52
Maryland,MD,54
Massachusetts,MA,52
Michigan,MI,51
Minnesota,MN,51
Mississippi,MS,59
Missouri,MO,52
Montana,MT,47
Nebraska,NE,49
Nevada,NV,50
New Hampshire,NH,47
New Jersey,NJ,48
New Mexico,NM,50
New York,NY,52
North Carolina,NC,53
North Dakota,ND,45
Ohio,OH,52
Oklahoma,OK,48
Oregon,OR,47
Pennsylvania,PA,50
Rhode Island,RI,56
South Carolina,SC,54
South Dakota,SD,53
Tennessee,TN,51
Texas,TX,48
Utah,UT,35
Vermont,VT,54
Virginia,VA,49
Washington,WA,44
West Virginia,WV,49
Wisconsin,WI,52
Wyoming,WY,42
